case_id,trial,mode,decision_correct,totals_correct,lines_complete,trigger_correct,record_correct,turns,tool_calls,tool_return_tokens,estimated_input_tokens,estimated_cost_usd
CLM-8842,1,sequential,True,True,True,True,True,10,10,455,14350,0.001435
CLM-8842,1,parallel,True,True,True,True,True,5,10,455,7098,0.00071
CLM-8850,1,sequential,True,True,True,True,True,7,7,214,9213,0.000921
CLM-8850,1,parallel,True,True,True,True,True,5,7,214,6607,0.000661
CLM-8861,1,sequential,True,True,True,True,True,9,9,351,12360,0.001236
CLM-8861,1,parallel,True,True,True,True,True,5,9,351,6822,0.000682
CLM-8874,1,sequential,True,True,True,True,True,7,7,247,9355,0.000936
CLM-8874,1,parallel,True,True,True,True,True,5,7,247,6711,0.000671
CLM-8888,1,sequential,True,True,True,True,True,10,10,369,14059,0.001406
CLM-8888,1,parallel,True,True,True,True,True,5,10,369,6963,0.000696
CLM-8888,2,sequential,True,True,True,True,True,10,10,369,14059,0.001406
CLM-8888,2,parallel,True,True,True,True,True,5,10,369,6963,0.000696
CLM-8888,3,sequential,True,True,True,True,True,10,10,369,14059,0.001406
CLM-8888,3,parallel,True,True,True,True,True,5,10,369,6963,0.000696
CLM-8894,1,sequential,True,True,True,True,True,8,8,279,10832,0.001083
CLM-8894,1,parallel,True,True,True,True,True,5,8,279,6737,0.000674
CLM-8894,2,sequential,True,True,True,True,True,8,8,279,10832,0.001083
CLM-8894,2,parallel,True,True,True,True,True,5,8,279,6737,0.000674
CLM-8894,3,sequential,True,True,True,True,True,8,8,279,10832,0.001083
CLM-8894,3,parallel,True,True,True,True,True,5,8,279,6737,0.000674
CLM-8901,1,sequential,True,True,True,True,True,7,7,219,9192,0.000919
CLM-8901,1,parallel,True,True,True,True,True,5,7,219,6596,0.00066
CLM-8901,2,sequential,True,True,True,True,True,7,7,219,9192,0.000919
CLM-8901,2,parallel,True,True,True,True,True,5,7,219,6596,0.00066
CLM-8901,3,sequential,True,True,True,True,True,7,7,219,9192,0.000919
CLM-8901,3,parallel,True,True,True,True,True,5,7,219,6596,0.00066
CLM-8910,1,sequential,True,True,True,True,True,4,4,172,5127,0.000513
CLM-8910,1,parallel,True,True,True,True,True,2,4,172,2479,0.000248
CLM-8910,2,sequential,True,True,True,True,True,4,4,172,5127,0.000513
CLM-8910,2,parallel,True,True,True,True,True,2,4,172,2479,0.000248
CLM-8910,3,sequential,True,True,True,True,True,4,4,172,5127,0.000513
CLM-8910,3,parallel,True,True,True,True,True,2,4,172,2479,0.000248
CLM-8917,1,sequential,True,True,True,True,True,4,4,147,5052,0.000505
CLM-8917,1,parallel,True,True,True,True,True,2,4,147,2454,0.000245
CLM-8917,2,sequential,True,True,True,True,True,4,4,147,5052,0.000505
CLM-8917,2,parallel,True,True,True,True,True,2,4,147,2454,0.000245
CLM-8917,3,sequential,True,True,True,True,True,4,4,147,5052,0.000505
CLM-8917,3,parallel,True,True,True,True,True,2,4,147,2454,0.000245
CLM-8925,1,sequential,True,True,True,True,True,4,4,208,5179,0.000518
CLM-8925,1,parallel,True,True,True,True,True,2,4,208,2487,0.000249
CLM-8925,2,sequential,True,True,True,True,True,4,4,208,5179,0.000518
CLM-8925,2,parallel,True,True,True,True,True,2,4,208,2487,0.000249
CLM-8925,3,sequential,True,True,True,True,True,4,4,208,5179,0.000518
CLM-8925,3,parallel,True,True,True,True,True,2,4,208,2487,0.000249
CLM-8933,1,sequential,True,True,True,True,True,4,4,196,5141,0.000514
CLM-8933,1,parallel,True,True,True,True,True,2,4,196,2473,0.000247
CLM-8933,2,sequential,True,True,True,True,True,4,4,196,5141,0.000514
CLM-8933,2,parallel,True,True,True,True,True,2,4,196,2473,0.000247
CLM-8933,3,sequential,True,True,True,True,True,4,4,196,5141,0.000514
CLM-8933,3,parallel,True,True,True,True,True,2,4,196,2473,0.000247
CLM-8941,1,sequential,True,True,True,True,True,1,1,84,1200,0.00012
CLM-8941,1,parallel,True,True,True,True,True,1,1,84,1200,0.00012
CLM-8941,2,sequential,True,True,True,True,True,1,1,84,1200,0.00012
CLM-8941,2,parallel,True,True,True,True,True,1,1,84,1200,0.00012
CLM-8941,3,sequential,True,True,True,True,True,1,1,84,1200,0.00012
CLM-8941,3,parallel,True,True,True,True,True,1,1,84,1200,0.00012
CLM-8952,1,sequential,True,True,True,True,True,1,1,73,1200,0.00012
CLM-8952,1,parallel,True,True,True,True,True,1,1,73,1200,0.00012
CLM-8952,2,sequential,True,True,True,True,True,1,1,73,1200,0.00012
CLM-8952,2,parallel,True,True,True,True,True,1,1,73,1200,0.00012
CLM-8952,3,sequential,True,True,True,True,True,1,1,73,1200,0.00012
CLM-8952,3,parallel,True,True,True,True,True,1,1,73,1200,0.00012
CLM-8960,1,sequential,True,True,True,True,True,10,10,383,13966,0.001397
CLM-8960,1,parallel,True,True,True,True,True,5,10,383,6962,0.000696
CLM-8971,1,sequential,True,True,True,True,True,7,7,224,9245,0.000924
CLM-8971,1,parallel,True,True,True,True,True,5,7,224,6633,0.000663
CLM-9001,1,sequential,True,True,True,True,True,7,7,225,9279,0.000928
CLM-9001,1,parallel,True,True,True,True,True,5,7,225,6651,0.000665
CLM-9002,1,sequential,True,True,True,True,True,7,7,221,9251,0.000925
CLM-9002,1,parallel,True,True,True,True,True,5,7,221,6633,0.000663
CLM-9003,1,sequential,True,True,True,True,True,7,7,221,9255,0.000925
CLM-9003,1,parallel,True,True,True,True,True,5,7,221,6635,0.000664
CLM-9004,1,sequential,True,True,True,True,True,7,7,239,9335,0.000933
CLM-9004,1,parallel,True,True,True,True,True,5,7,239,6693,0.000669
CLM-9005,1,sequential,True,True,True,True,True,7,7,259,9407,0.000941
CLM-9005,1,parallel,True,True,True,True,True,5,7,259,6749,0.000675
CLM-9006,1,sequential,True,True,True,True,True,7,7,239,9311,0.000931
CLM-9006,1,parallel,True,True,True,True,True,5,7,239,6681,0.000668
CLM-9007,1,sequential,True,True,True,True,True,8,8,314,10974,0.001097
CLM-9007,1,parallel,True,True,True,True,True,5,8,314,6865,0.000687
CLM-9008,1,sequential,True,True,True,True,True,7,7,251,9380,0.000938
CLM-9008,1,parallel,True,True,True,True,True,5,7,251,6727,0.000673
CLM-9009,1,sequential,True,True,True,True,True,8,8,334,11001,0.0011
CLM-9009,1,parallel,True,True,True,True,True,5,8,334,6833,0.000683
CLM-9010,1,sequential,True,True,True,True,True,8,8,331,10980,0.001098
CLM-9010,1,parallel,True,True,True,True,True,5,8,331,6821,0.000682
CLM-9011,1,sequential,True,True,True,True,True,9,9,361,12440,0.001244
CLM-9011,1,parallel,True,True,True,True,True,5,9,361,6862,0.000686
CLM-9012,1,sequential,True,True,True,True,True,7,7,224,9262,0.000926
CLM-9012,1,parallel,True,True,True,True,True,5,7,224,6640,0.000664
CLM-9013,1,sequential,True,True,True,True,True,7,7,247,9353,0.000935
CLM-9013,1,parallel,True,True,True,True,True,5,7,247,6710,0.000671
CLM-9014,1,sequential,True,True,True,True,True,7,7,254,9391,0.000939
CLM-9014,1,parallel,True,True,True,True,True,5,7,254,6736,0.000674
CLM-9015,1,sequential,True,True,True,True,True,7,7,226,9285,0.000928
CLM-9015,1,parallel,True,True,True,True,True,5,7,226,6655,0.000665
CLM-9016,1,sequential,True,True,True,True,True,8,8,310,10949,0.001095
CLM-9016,1,parallel,True,True,True,True,True,5,8,310,6850,0.000685
CLM-9017,1,sequential,True,True,True,True,True,8,8,318,11003,0.0011
CLM-9017,1,parallel,True,True,True,True,True,5,8,318,6881,0.000688
CLM-9018,1,sequential,True,True,True,True,True,7,7,251,9377,0.000938
CLM-9018,1,parallel,True,True,True,True,True,5,7,251,6726,0.000673
CLM-9019,1,sequential,True,True,True,True,True,7,7,242,9329,0.000933
CLM-9019,1,parallel,True,True,True,True,True,5,7,242,6693,0.000669
CLM-9020,1,sequential,True,True,True,True,True,7,7,255,9399,0.00094
CLM-9020,1,parallel,True,True,True,True,True,5,7,255,6741,0.000674
CLM-9021,1,sequential,True,True,True,True,True,7,7,256,9405,0.000941
CLM-9021,1,parallel,True,True,True,True,True,5,7,256,6745,0.000674
CLM-9022,1,sequential,True,True,True,True,True,7,7,255,9402,0.00094
CLM-9022,1,parallel,True,True,True,True,True,5,7,255,6742,0.000674
CLM-9023,1,sequential,True,True,True,True,True,7,7,260,9429,0.000943
CLM-9023,1,parallel,True,True,True,True,True,5,7,260,6761,0.000676
CLM-9024,1,sequential,True,True,True,True,True,7,7,259,9421,0.000942
CLM-9024,1,parallel,True,True,True,True,True,5,7,259,6756,0.000676
CLM-9025,1,sequential,True,True,True,True,True,4,4,168,5087,0.000509
CLM-9025,1,parallel,True,True,True,True,True,2,4,168,2461,0.000246
CLM-9025,2,sequential,True,True,True,True,True,4,4,168,5087,0.000509
CLM-9025,2,parallel,True,True,True,True,True,2,4,168,2461,0.000246
CLM-9025,3,sequential,True,True,True,True,True,4,4,168,5087,0.000509
CLM-9025,3,parallel,True,True,True,True,True,2,4,168,2461,0.000246
