case_id,version,trial,decision_correct,totals_correct,lines_complete,trigger_correct,record_correct,api_rounds,tool_turns,tool_calls,tool_errors,repeated_calls,tool_return_characters,tool_return_tokens,input_tokens,output_tokens,total_tokens,estimated_cost_usd,seconds,error
CLM-8842,V1,1,True,False,True,True,False,8,7,7,0,0,1591,532,19581,464,20045,0.002144,9.698,
CLM-8842,V2,1,True,False,True,True,False,8,7,7,0,0,1546,514,19777,462,20239,0.002163,6.294,
CLM-8850,V1,1,True,True,True,True,True,6,5,5,0,0,812,265,13371,283,13654,0.00145,3.63,
CLM-8850,V2,1,True,True,True,True,True,6,5,5,0,0,790,259,13625,322,13947,0.001491,4.223,
CLM-8861,V1,1,True,True,True,True,True,7,6,6,0,0,1244,425,16361,401,16762,0.001797,4.711,
CLM-8861,V2,1,True,True,True,True,True,7,6,6,0,0,1223,419,16651,369,17020,0.001813,4.686,
CLM-8874,V1,1,True,True,True,True,True,7,6,6,0,0,973,319,16188,348,16536,0.001758,5.503,
CLM-8874,V2,1,True,True,True,True,True,6,5,5,0,0,923,303,13844,331,14175,0.001517,4.468,
CLM-8888,V1,1,False,False,True,True,False,8,7,8,0,0,1397,445,19450,521,19971,0.002153,6.772,
CLM-8888,V2,1,True,True,True,True,True,8,7,7,0,0,1202,383,19405,463,19868,0.002126,5.097,
CLM-8888,V1,2,False,False,True,True,False,8,7,8,0,0,1397,445,19450,530,19980,0.002157,6.421,
CLM-8888,V2,2,True,True,False,True,False,8,7,7,0,0,1202,383,19405,415,19820,0.002106,5.398,
CLM-8888,V1,3,False,False,True,True,False,8,7,8,0,0,1397,445,19450,530,19980,0.002157,6.615,
CLM-8888,V2,3,True,True,False,True,False,8,7,7,0,0,1202,383,19405,410,19815,0.002105,5.693,
CLM-8894,V1,1,False,False,True,True,False,6,5,5,0,0,1001,341,13731,462,14193,0.001558,5.546,
CLM-8894,V2,1,False,False,True,True,False,7,6,6,0,0,1074,361,16555,352,16907,0.001796,4.647,
CLM-8894,V1,2,False,False,True,True,False,6,5,5,0,0,1001,341,13731,471,14202,0.001562,4.99,
CLM-8894,V2,2,False,False,True,True,False,7,6,6,0,0,1074,361,16555,347,16902,0.001794,4.411,
CLM-8894,V1,3,False,False,True,True,False,6,5,5,0,0,1001,341,13727,314,14041,0.001498,3.439,
CLM-8894,V2,3,False,False,True,True,False,7,6,6,0,0,1074,361,16555,337,16892,0.00179,3.974,
CLM-8901,V1,1,True,True,True,True,True,7,6,6,0,0,845,281,15915,335,16250,0.001726,3.72,
CLM-8901,V2,1,True,True,True,True,True,6,5,6,0,0,880,286,13776,448,14224,0.001557,5.104,
