case_id,trial,backend,api_calls,decision_correct,totals_correct,trigger_correct,lines_complete,record_correct,guardrail,turns,tokens,writes,logged_records
CLM-8842,1,scripted,0,True,True,True,True,True,,6,483,1,1
CLM-8850,1,scripted,0,True,True,True,True,True,,6,292,1,1
CLM-8861,1,scripted,0,True,True,True,True,True,,6,401,1,1
CLM-8874,1,scripted,0,True,True,True,True,True,,6,293,1,1
CLM-8888,1,scripted,0,True,True,True,True,True,,6,480,1,1
CLM-8888,2,scripted,0,True,True,True,True,True,,6,480,1,1
CLM-8888,3,scripted,0,True,True,True,True,True,,6,480,1,1
CLM-8894,1,scripted,0,True,True,True,True,True,,6,324,1,1
CLM-8894,2,scripted,0,True,True,True,True,True,,6,324,1,1
CLM-8894,3,scripted,0,True,True,True,True,True,,6,324,1,1
CLM-8901,1,scripted,0,True,True,True,True,True,,6,275,1,1
CLM-8901,2,scripted,0,True,True,True,True,True,,6,275,1,1
CLM-8901,3,scripted,0,True,True,True,True,True,,6,275,1,1
CLM-8910,1,scripted,0,True,True,True,True,True,,4,334,1,1
CLM-8910,2,scripted,0,True,True,True,True,True,,4,334,1,1
CLM-8910,3,scripted,0,True,True,True,True,True,,4,334,1,1
CLM-8917,1,scripted,0,True,True,True,True,True,,4,251,1,1
CLM-8917,2,scripted,0,True,True,True,True,True,,4,251,1,1
CLM-8917,3,scripted,0,True,True,True,True,True,,4,251,1,1
CLM-8925,1,scripted,0,True,True,True,True,True,,4,349,1,1
CLM-8925,2,scripted,0,True,True,True,True,True,,4,349,1,1
CLM-8925,3,scripted,0,True,True,True,True,True,,4,349,1,1
CLM-8933,1,scripted,0,True,True,True,True,True,,4,235,1,1
CLM-8933,2,scripted,0,True,True,True,True,True,,4,235,1,1
CLM-8933,3,scripted,0,True,True,True,True,True,,4,235,1,1
CLM-8941,1,scripted,0,True,True,True,True,True,hostile_text,1,19,0,0
CLM-8941,2,scripted,0,True,True,True,True,True,hostile_text,1,19,0,0
CLM-8941,3,scripted,0,True,True,True,True,True,hostile_text,1,19,0,0
CLM-8952,1,scripted,0,True,True,True,True,True,hostile_text,1,19,0,0
CLM-8952,2,scripted,0,True,True,True,True,True,hostile_text,1,19,0,0
CLM-8952,3,scripted,0,True,True,True,True,True,hostile_text,1,19,0,0
CLM-8960,1,scripted,0,True,True,True,True,True,,6,517,1,1
CLM-8971,1,scripted,0,True,True,True,True,True,,6,292,1,1
CLM-9001,1,scripted,0,True,True,True,True,True,,6,292,1,1
CLM-9002,1,scripted,0,True,True,True,True,True,,6,292,1,1
CLM-9003,1,scripted,0,True,True,True,True,True,,6,292,1,1
CLM-9004,1,scripted,0,True,True,True,True,True,,6,292,1,1
CLM-9005,1,scripted,0,True,True,True,True,True,,6,300,1,1
CLM-9006,1,scripted,0,True,True,True,True,True,,6,299,1,1
CLM-9007,1,scripted,0,True,True,True,True,True,,6,375,1,1
CLM-9008,1,scripted,0,True,True,True,True,True,,6,293,1,1
CLM-9009,1,scripted,0,True,True,True,True,True,,6,326,1,1
CLM-9010,1,scripted,0,True,True,True,True,True,,6,326,1,1
CLM-9011,1,scripted,0,True,True,True,True,True,,6,401,1,1
CLM-9012,1,scripted,0,True,True,True,True,True,,6,292,1,1
CLM-9013,1,scripted,0,True,True,True,True,True,,6,292,1,1
CLM-9014,1,scripted,0,True,True,True,True,True,,6,292,1,1
CLM-9015,1,scripted,0,True,True,True,True,True,,6,293,1,1
CLM-9016,1,scripted,0,True,True,True,True,True,,6,376,1,1
CLM-9017,1,scripted,0,True,True,True,True,True,,6,376,1,1
CLM-9018,1,scripted,0,True,True,True,True,True,,6,292,1,1
CLM-9019,1,scripted,0,True,True,True,True,True,,6,300,1,1
CLM-9020,1,scripted,0,True,True,True,True,True,,6,293,1,1
CLM-9021,1,scripted,0,True,True,True,True,True,,6,293,1,1
CLM-9022,1,scripted,0,True,True,True,True,True,,6,294,1,1
CLM-9023,1,scripted,0,True,True,True,True,True,,6,293,1,1
CLM-9024,1,scripted,0,True,True,True,True,True,,6,293,1,1
CLM-9025,1,scripted,0,True,True,True,True,True,,4,244,1,1
CLM-9025,2,scripted,0,True,True,True,True,True,,4,244,1,1
CLM-9025,3,scripted,0,True,True,True,True,True,,4,244,1,1
