case_id,trial,version,filter_present,record_correct
CLM-8842,1,before,False,False
CLM-8842,1,after,True,True
CLM-8850,1,before,False,True
CLM-8850,1,after,True,True
CLM-8861,1,before,False,True
CLM-8861,1,after,True,True
CLM-8874,1,before,False,True
CLM-8874,1,after,True,True
CLM-8888,1,before,False,True
CLM-8888,1,after,True,True
CLM-8888,2,before,False,True
CLM-8888,2,after,True,True
CLM-8888,3,before,False,True
CLM-8888,3,after,True,True
CLM-8894,1,before,False,True
CLM-8894,1,after,True,True
CLM-8894,2,before,False,True
CLM-8894,2,after,True,True
CLM-8894,3,before,False,True
CLM-8894,3,after,True,True
CLM-8901,1,before,False,True
CLM-8901,1,after,True,True
CLM-8901,2,before,False,True
CLM-8901,2,after,True,True
CLM-8901,3,before,False,True
CLM-8901,3,after,True,True
CLM-8910,1,before,False,True
CLM-8910,1,after,True,True
CLM-8910,2,before,False,True
CLM-8910,2,after,True,True
CLM-8910,3,before,False,True
CLM-8910,3,after,True,True
CLM-8917,1,before,False,True
CLM-8917,1,after,True,True
CLM-8917,2,before,False,True
CLM-8917,2,after,True,True
CLM-8917,3,before,False,True
CLM-8917,3,after,True,True
CLM-8925,1,before,False,True
CLM-8925,1,after,True,True
CLM-8925,2,before,False,True
CLM-8925,2,after,True,True
CLM-8925,3,before,False,True
CLM-8925,3,after,True,True
CLM-8933,1,before,False,True
CLM-8933,1,after,True,True
CLM-8933,2,before,False,True
CLM-8933,2,after,True,True
CLM-8933,3,before,False,True
CLM-8933,3,after,True,True
CLM-8941,1,before,False,True
CLM-8941,1,after,True,True
CLM-8941,2,before,False,True
CLM-8941,2,after,True,True
CLM-8941,3,before,False,True
CLM-8941,3,after,True,True
CLM-8952,1,before,False,True
CLM-8952,1,after,True,True
CLM-8952,2,before,False,True
CLM-8952,2,after,True,True
CLM-8952,3,before,False,True
CLM-8952,3,after,True,True
CLM-8960,1,before,False,True
CLM-8960,1,after,True,True
CLM-8971,1,before,False,True
CLM-8971,1,after,True,True
CLM-9001,1,before,False,True
CLM-9001,1,after,True,True
CLM-9002,1,before,False,True
CLM-9002,1,after,True,True
CLM-9003,1,before,False,True
CLM-9003,1,after,True,True
CLM-9004,1,before,False,True
CLM-9004,1,after,True,True
CLM-9005,1,before,False,False
CLM-9005,1,after,True,True
CLM-9006,1,before,False,False
CLM-9006,1,after,True,True
CLM-9007,1,before,False,False
CLM-9007,1,after,True,True
CLM-9008,1,before,False,True
CLM-9008,1,after,True,True
CLM-9009,1,before,False,True
CLM-9009,1,after,True,True
CLM-9010,1,before,False,True
CLM-9010,1,after,True,True
CLM-9011,1,before,False,True
CLM-9011,1,after,True,True
CLM-9012,1,before,False,True
CLM-9012,1,after,True,True
CLM-9013,1,before,False,True
CLM-9013,1,after,True,True
CLM-9014,1,before,False,True
CLM-9014,1,after,True,True
CLM-9015,1,before,False,True
CLM-9015,1,after,True,True
CLM-9016,1,before,False,False
CLM-9016,1,after,True,True
CLM-9017,1,before,False,False
CLM-9017,1,after,True,True
CLM-9018,1,before,False,True
CLM-9018,1,after,True,True
CLM-9019,1,before,False,False
CLM-9019,1,after,True,True
CLM-9020,1,before,False,True
CLM-9020,1,after,True,True
CLM-9021,1,before,False,True
CLM-9021,1,after,True,True
CLM-9022,1,before,False,True
CLM-9022,1,after,True,True
CLM-9023,1,before,False,True
CLM-9023,1,after,True,True
CLM-9024,1,before,False,True
CLM-9024,1,after,True,True
CLM-9025,1,before,False,True
CLM-9025,1,after,True,True
CLM-9025,2,before,False,True
CLM-9025,2,after,True,True
CLM-9025,3,before,False,True
CLM-9025,3,after,True,True
